"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1715,1672.5,1795,1955.5,1961,1995,1997.5,1950,1844,1850,1799.5,1797
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,1150,1150,1100,1100,1100,1100,1100,1100,1095,1095,1100,1110,1100,1097,1075,1047.5,1050,1050,1050,1050,1095,1098.5,1100,1100,1100,1100,1125,1125,1100,1100,1100,1100,1100,1100,1125,1100,1150,1125,1125,1100,1100,1100,1141,1100,1150,1168,1195,1195,1199,1200,1195,1150,1200,1200,1200,1200,1245,1209,1225,1250,1250,1250,1200,1200,1255,1195,1250,1250,1250,1295,1295,1300,1300,1300,1300,1300,1300
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,5075,5516,5095,5295,5500,5800,5950,6000,6000,5500,5475,5699,5700,5530,5700,6097.5,6047.5,6172,6000,5950,6000,5800,5500,5500,5296,4995,5500,5500,5200,5499,5499.5,5545,5700,5700,5295,5600,6350,6500,6600,6595,6500,6750,6597.5,6500,6500,6900,6500,6497.5,6500,6500,6400,6450,6310,6400,6200,6350,6350,6200,6300,6150,5647.5,5350,6200,6000,5895,5997.5,5900,6150,6100,6000,5900,5695,5995,5800,5796,5990,6200
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3875,3899,3800,4050,3537.5,3747.5,3422.5,3600,4200,3995,3800,3750,3650,3675,3795,3797.5
"Upper East Side","New York","NY","New York","New York",5,,,,,,,,,,,,,,4500,4350,4295,4300,4395,4200,4495,4300,4400,4497.5,4495,4495,4225,4425,4495,4300,4495,4562.5,4595,4600,4650,4650,4695,4595,4500,4400,4495,4500,4895,4895,4795,4945,5000,5115,5300,5200,5000,5500,5775,6000,6000,6100,6422.5,6500,5595,5500,5980,5900,5425,5547.5,5595,5500,5200,5400,5500,5900,5995,5995,5995,6080,6000,5500,5197.5,4995,5129,5600,5595,5595,5500,5995,5995,5535,5597.5,5587,5582,5500,6150,5995,5595
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,925,900,925,925,900,895,899,900,895,900,925,900,900,900,900,900,900,895,895,899,900,910,900,900,900,900,899,895,899,899,899,900,900,917.5,950,947.5,925,925,950,950,950,940,932.5,950,950,950,950,950,950,950,950,975,975,950,950,985,995,975,975,997.5,1032.5,975,999,975,1000,995,995,999,1050,1050,1050,1100,1072.5,1067,1099.5,1095,1075
"East New York","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,1625,1650,1625,1600,1625,1625,1625,1675,1800,1800,1744,1750,1700,1700,1700,1700,1700,1750,1800,1750,1750,1750,1800,1816.5,1800,1750,1850,1800,1797.5,1760,1800,1800,1800,1800,2037,1800,1800,1800,1800,1800,1800,1825,1800,1900,1900,1900,1900,1900,1999.5,2000,2000,1900,2000,2000,2000,2000,1925,2000,2000,2000,2000,2000,2000,2200,2100,2000,2150,2125,2200,2150,2200,2200,2200,2199,2200,2197.5
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,1187.5,1200,1225,1250,1207.5,1200,1200,1195,1162.5,1150,1175,1150,1125,1100,1100,1100,1125,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1150,1125,1142.5,1125,1150,1150,1150,1150,1175,1190,1186.5,1180,1177.5,1175,1195,1200,1195,1195,1200,1199,1200,1200,1200,1225,1200,1200,1235,1250,1200,1247,1250,1275,1250,1226,1250,1245,1250,1295,1250,1250,1275,1250,1250,1250,1299,1295,1300,1300,1300,1300,1325,1350,1350,1350,1350
"Washington Heights","New York","NY","New York","New York",9,,,,,,,,,,,,2195,2225,2200,2195,2250,2200,2200,2200,2200,2200,2250,2295,2295,2295,2300,2300,2300,2300,2250,2295,2295,2299,2295,2299,2325,2385,2400,2400,2475,2400,2400,2395,2390,2395,2395,2395,2395,2415,2500,2515,2400,2495,2500,2550,2495,2495,2550,2497.5,2411,2500,2525,2572.5,2550,2650,2700,2700,2635,2566,2600,2650,2600,2566,2505.5,2500,2500,2625,2558,2425,2595,2495,2642.5,2650,2612,2699,2700,2750,2800,2797.5,2700,2650,2585
"Astoria","New York","NY","New York","Queens",10,,,,,,,,,,,,,,,2225,2300,2400,2400,2400,2350,2400,2400,2495,2495,2500,2400,2400,2500,2600,2700,2600,2500,2600,2550,2550,2600,2600,2650,2600,2600,2695,2700,2800,2800,2700,2700,2700,2700,2800,2900,2900,2852,3000,3000,3000,2812.5,2800,2800,2800,2800,2900,2900,2850,2895,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3100,3000,2950,2950,3000,2990,3000,3000,3000,2975,2900,2862.5,2850,2900
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",11,,,,,,,,,,,,1500,1575,1500,1607.5,1595,1397.5,1500,1397.5,1395,1404.5,1281,1230,1349,1339,1375,1450,1400,1495,1495,1375,1300,1365,1405,1347.5,1408.5,1451.5,1450,1471,1471,1435,1535,1595,1650,1600,1600,1687.5,1695,1685,1685,1800,1755,1650,1600,1595,1599,1600,1725,1695,1650,1677,1697.5,1750,1724,1720,1695,1695,1722,1750,1783.5,1743,1734,1713,1720,1730.5,1750,1800,1885,1875,1750,1745.5,1875,1797.5,1795,1895,2000,1997.5,2000,1950,1950,1847,1895
"Williamsburg","New York","NY","New York","Kings",12,,,,,,,,,,,,,,,3000,3000,2975,3000,3250,3200,3000,2900,3000,3099,3000,3125,3000,3200,3300,3300,3200,3200,3200,3300,3200,3195,3300,3499,3499,3500,3500,3500,3500,3500,3436,3400,3302.5,3400,3482,3514.5,3600,3500,3499,3500,3400,3500,3500,3500,3500,3500,3600,3800,3695,3650,3650,3800,3700,3700,3650,3700,3797,3800,3772.5,3638,3627.5,3600,3795,3700,4000,3800,3697.5,3754,3399,3421,3600,3678.5,3700,3699,3647.5,3765,3700,3529
"Bedford Stuyvesant","New York","NY","New York","Kings",13,,,,,,,,,,,,,,,,1950,1950,1900,1900,1900,1900,1950,1850,1900,1900,1999,2000,2062,2200,2100,2100,2000,2000,2100,2112.5,2200,2200,2450,2600,2598,2650,2595,2500,2500,2500,2550,2550,2585,2599,2500,2500,2599,2600,2700,2685,2675,2600,2550,2600,2600,2600,2700,2695,2699,2700,2795,2750,2800,2799,2800,2795,2750,2700,2795,2800,2800,2800,2800,2880,2850,2750,2800,2709,2795,2800,2800,2800,2800,2800,2849,2799,2689
"East Side","El Paso","TX","El Paso","El Paso",14,,,,,,,,,,,,,,1200,1075,1100,997.5,1025,1050,997.5,995,1097.5,1050,1172.5,1195,1150,1127.5,1075,1050,1025,1000,1000,995,995,992.5,995,1000,995,995,1000,1050,1050,1000,975,997.5,980,975,975,975,950,995,995,975,950,1000,1050,1050,1050,1050,1050,1097.5,1082.5,1100,1100,1075,1037.5,1050,1050,1000,1000,1000,1000,1000,1035,1000,1095,1000,995,1025,975,975,1000,1012.5,1000,1000,999,1050,1000,1050,1045,997.5,1000
"Flatbush","New York","NY","New York","Kings",15,,,,,,,,,,,,,,,,,,,,,,,,1725,1750,1700,1900,1900,1850,1850,1899.5,1816,1858,1900,1950,1900,1900,2037.5,2150,2200,2399,2299,2100,2099,2200,2100,2150,2150,2200,2150,2150,2200,2100,2150,2300,2297,2100,2100,2200,2300,2395,2450,2375,2325,2375,2375,2350,2300,2300,2400,2400,2400,2399,2350,2400,2400,2400,2500,2400,2350,2350,2400,2397,2400,2400,2462.5,2497,2500,2500,2500,2500,2490
"Crown Heights","New York","NY","New York","Kings",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2500,2499,2325,2300,2399,2499,2500,2500,2650,2700,2795,2800,2800,2799,2695,2600,2650,2697,2650,2600,2650,2725,2799,2800,2850,2900,2900,2850,2800,2786,2750,2750,2800,2800,2800,2800,2799,2850,2800,2800,2800,2850,2895,2899,2950,2885,2849.5,2900,3000,3200,3000,2750,2800,2700,2725,2789,2799,2800,2850,2850,2830,2750,2700
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",17,,,,,,,,,,,995,1025,962.5,912.5,950,925,850,875,995,995,962.5,950,900,900,950,950,995,998,1000,995,961,953,950,969,998,995,1000,1000,985,995,950,950,950,950,950,950,1012.5,1049,1049,1050,1050,1050,1049,1050,1050,1050,1075,1050,1025,1075,1025,1000,1025,1050,1000,995,980,1005,980,975,975,975,1098,1125,1072.5,1100,1042.5,1095,1037.5,1050,1013,1050,1120,1050,1075,1062.5,1150,1150,1197.5,1175,1150,1100
"Harlem","New York","NY","New York","New York",18,,,,,,,,,,,,,,,,,,,,2500,2500,2495,2400,2400,2250,2225,2300,2325,2472.5,2400,2500,2475,2397.5,2200,2300,2495,2560,2695,2700,2695,2625,2500,2500,2500,2495,2500,2600,2650,2721.5,2850,2800,2700,2800,2875,2899.5,2700,2700,2700,2650,2600,2650,2700,2750,2925,2960,2999.5,2900,2900,2850,2895,2900,2897.5,2900,2975,2850,2797.5,3000,2800,2800,2995,2672.5,2875,2850,2995,2995,3000,3000,3200,3000,3000,2995,2825
"Williamsbridge","New York","NY","New York","Bronx",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1750,1800,1700,1750,1800,1750,1800,1800,1750,1700,1800,1800,1800,1750,1750,1800,1800,1800,1800,1800,1850,1800,1925,1900,1850,1900,1900,1850,1800,1800,1900,1992,1850,1956,1900,1875,1971,1974,1996,1900,1971,1950,1900,1956,1975,2000,2100,2100,2000,2100,2050
"East Harlem","New York","NY","New York","New York",20,,,,,,,,,,,,,,,3000,2925,3175,2912.5,2800,2895,3000,3095,2995,3000,3200,3275,3450,3300,3300,3400,3495,3472.5,3300,3300,3300,3300,3299,3345,3395,3295,3295,3450,3450,3395,3450,3395,3300,3395,3395,3395,3395,3300,3297.5,3297.5,3395,3297.5,3395,3100,3200,3000,3000,3500,3450,3400,3420,3420,3400,3375,3300,3300,3300,3495,3499,3400,3495,3295,3495,3500,3495,3500,3450,3450,3450,3300,3300,3472.5,3335,3300,3285,3199,3199,3000
"Bushwick","New York","NY","New York","Kings",21,,,,,,,,,,,,,,,1700,1800,1800,1950,1925,1900,1800,1750,1725,1800,1800,1800,2100,2150,2200,2250,2200,2150,2150,2150,2100,2200,2400,2500,2500,2500,2699,2699,2600,2600,2600,2595,2550,2500,2500,2500,2500,2575,2650,2699,2600,2600,2600,2700,2700,2700,2699,2650,2700,2800,2800,2800,2800,2800,2800,2800,2800,2800,2894.5,2885.5,2900,2900,2900,2900,2925,2875,2850,2850,2700,2799,2800,2850,2850,2850,2849,2800,2750,2700
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",22,,,,,,,,,,,,,,,,,,,,,1772.5,1795,1775,1557,1575,1600,1525,1432.5,1550,1500,1450,1299,1456,1322,1415,1500,1550,1600,1615,1515,1624.5,1649,1795,1800,1635,1700,1730,1797.5,1700,1700,1712.5,1763.5,1800,1834,1795,1789,1850,1800,1797.5,1998,2124,1895,1800,1744,1850,1795,1809,1879,1874,1879,1800,1699,1790,1760,1780,1795,1850,1700,1850,1820,1790,1797.5,1850,1839,1800,1800,1860,1889,1800,1700,1709,1850
"East Flatbush","New York","NY","New York","Kings",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1895,1900,1946,1900,1900,1900,1950,1950,1900,1900,1900,1900,1900,2000,2000,2000,2000,2000,2100,2100,2050,2050,2000,2000,2099.5,2095,2095,2000,2000,2000,2100,2095,2200,2175,2125,2100,2100,2200,2350,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200
"Enterprise","Las Vegas","NV","Las Vegas","Clark",24,1150,1150,1075,1100,1132,1164,1195,1175,1125,1195,1200,1200,1197.5,1200,1200,1195,1200,1200,1200,1197.5,1195,1195,1195,1195,1195,1195,1200,1195,1195,1195,1172.5,1150,1150,1150,1187.5,1195,1195,1195,1199,1200,1195,1195,1195,1195,1195,1195,1195,1195,1195,1200,1200,1250,1225,1235,1200,1200,1200,1250,1228.5,1225,1225,1225,1250,1250,1265,1250,1250,1250,1250,1250,1275,1275,1250,1295,1280,1295,1295,1275,1295,1295,1250,1300,1300,1349,1350,1350,1350,1365,1350,1350,1350,1350
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby",25,,,,,,,,,,,,,,,995,995,1112.5,1000,1000,985,995,1095,1100,1100,1095,1097.5,1030,1000,895,957.5,897.5,850,850,800,850,862.5,877.5,950,950,912.5,900,950,950,895,895,895,825,800,800,875,895,862.5,875,875,875,900,895,895,875,875,895,895,850,850,875,870,875,895,937.5,900,885,895,925,985,899,925,950,975,950,1025,935,895,895,950,937.5,995,975,950,895,925,925,950
"Corona","New York","NY","New York","Queens",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2715,2600,2480,2500,2500,2500,2500,2525,2500,2500,2500,2500,2500,2500
"Sunset Park","New York","NY","New York","Kings",27,,,,,,,,,,,,,,,,,,,,,1750,1650,1850,1900,1900,1800,1800,1850,1900,1800,1800,1775,1700,2000,2000,2100,2100,2000,2100,2100,2200,2200,2200,2150,2200,2100,2200,2200,2200,2250,2250,2100,2100,2100,2100,2100,2200,2000,2100,2200,2200,2200,2200,2200,2200,2300,2400,2300,2204,2204,2300,2300,2300,2300,2400,2375,2400,2375,2400,2700,2400,2400,2300,2300,2400,2400,2400,2400,2425,2420,2400,2400
"Alief","Houston","TX","Houston","Harris",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,995,850,959,920,900,950,962,1044,1100,1100,975,1100,1150,1099,1150,1099,1075,1062.5,1100,1185,1200,1150,1165,1200,1200,1200,1200,1170,1170,1200,1224,1225,1200,1250,1200,1225,1250,1250,1250,1250,1200,1250,1250,1278,1199,1250,1300,1299,1237,1275,1300,1250,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1275
"Bensonhurst","New York","NY","New York","Kings",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2000,1900,1800,1900,1800,1800,1800,1900,2000,1900,2000,1947.5,1900,1970,2100,2250,2100,2000,2100,2195,2200,2200,2100,2200,2100,2100,2100,2100,2100,2000,2000,2100,2100,2150,2225,2200,2100,2200,2400,2350,2300,2150,2100,2100,2200,2100,2200,2100,2100,2100,2200
"Northeast","El Paso","TX","El Paso","El Paso",30,,,,,,,,,,,,,,,,,,,,,,,,,,1112.5,1112.5,1000,950,975,985,995,975,945,960,995,978.5,995,1000,1000,995,995,995,995,995,995,1000,1000,1000,1000,1050,1085,1000,975,950,965,980,995,1025,1037.5,1050,1097.5,1100,995,995,995,995,975,987.5,995,995,1037.5,1055,1000,1050,1000,977.5,1000,1000,950,975,975,950,975,1000,1075,1050,995,975,1000,957.5,950
"West San Jose","San Jose","CA","San Jose","Santa Clara",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047.5,3000,3195,3197.5,3245,3100,3197.5,3400,3650,3595,3400,3447.5,3300,3400,3472.5,3600,3500,3547.5,3572.5,3700,3574.5,3389.5,3400,3485,3400,3247.5,3122.5,3225,3272.5,3491.5,3500,3800,3797.5,3800,3750,3662.5,3500,3500
"White Haven-Coro Lake","Memphis","TN","Memphis","Shelby",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,704.5,704.5,725,725,725,750,770,755.5,795,775,797.5,825,795,795,795,795,750,795,795,795,795,795,795,750,750,750,795,795,795,797,795,750,795,795,795,750,750,780,795,797,810,825,750,800,775,750,795,850,812.5,797.5,825,850,850,795,775,775,750,750,750
"East","Arlington","TX","Dallas-Fort Worth","Tarrant",33,,,,,,,,,,,,,,,,995,925,900,897.5,895,920,929,950,919,919,919,950,950,950,945,922.5,910,920,950,950,937.5,950,995,990,1000,995,995,999.5,1050,1037.5,1062.5,1095,1075,1075,1100,1097.5,1150,1100,1100,1137.5,1150,1150,1110,1125,1150,1150,1129,1150,1125,1095,1150,1195,1200,1195,1150,1192.5,1170,1225,1292.5,1212.5,1197.5,1240,1195,1230,1215,1197.5,1250,1250,1285,1325,1350,1395,1350,1300,1350,1340,1300
"Lower East Side","New York","NY","New York","New York",34,,,,,,,,,,,,3200,3525,3650,3600,3750,3750,3750,3945,3750,3690,3600,3772.5,3900,3920,4122.5,4047.5,4200,4500,4725,4550,4197.5,4200,4395,4422.5,4390,4300,4295,4350,4250,4225,4495,4450,4350,4350,4500,4500,4500,4500,4495,4495,4495,4595,4595,4500,4500,4475,4355,4547.5,4500,4500,4695,4695,4795,4797.5,4731,4675,4615,4662.5,4580,4600,4895,4895,4795,4945,4762,4755,4650,4970,4650,4747.5,4775,4500,4500,4500,4500,4500,4500,4562.5,4447,4200,4500
"Northwest","El Paso","TX","El Paso","El Paso",35,,,,,,,,,,,,,,,,1375,1300,1300,1312.5,1300,1200,1297.5,1250,1287.5,1400,1300,1300,1262.5,1300,1295,1300,1275,1262.5,1300,1295,1350,1300,1300,1300,1300,1285,1295,1250,1250,1250,1250,1250,1250,1225,1250,1275,1250,1250,1200,1250,1200,1200,1250,1200,1200,1250,1250,1312.5,1250,1250,1200,1225,1200,1200,1200,1200,1225,1200,1200,1250,1250,1250,1225,1200,1225,1250,1200,1250,1200,1210,1250,1235,1250,1200,1225,1197.5,1200
"Southeast","Arlington","TX","Dallas-Fort Worth","Tarrant",36,,,,,,,,,,,1295,1250,1245,1250,1295,1250,1197.5,1195,1200,1200,1175,1185,1200,1250,1250,1195,1200,1222.5,1250,1200,1200,1250,1250,1200,1245,1260,1275,1275,1295,1281,1275,1250,1250,1250,1250,1250,1212.5,1225,1250,1295,1295,1300,1275,1288,1295,1300,1295,1300,1335,1345,1350,1350,1350,1395,1400,1395,1394,1395,1395,1375,1375,1375,1350,1375,1425,1395,1440,1395,1450,1385,1445,1450,1450,1455,1497.5,1500,1500,1500,1495,1500,1500,1500
"Logan Square","Chicago","IL","Chicago","Cook",37,,,,,,,,,,,,,,,1450,1495,1500,1500,1495,1495,1495,1495,1500,1620,1750,1850,1650,1570,1600,1700,1595,1472.5,1600,1525,1550,1572.5,1650,1795,1795,1850,1900,1950,1800,1800,1725,1800,1800,1800,1950,1995,1950,1895,1900,1895,1800,1800,1800,1800,1900,1650,1890,1900,2000,1995,1875,1850,1800,1800,1800,1875,1872.5,1895,1900,1995,2045,2000,2000,2047.5,1950,1900,1850,1925,1900,1900,2000,2095,2095,2000,1995,1900,1850,1800
"Flushing","New York","NY","New York","Queens",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2350,2350,2400,2400,2500,2300,2497.5,2500,2500,2550,2500
"Murray Hill","New York","NY","New York","Queens",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,2100,2100,2100,2000,1950,2000,2000,2000,2000,2000,2100,2100,2100,2150,2200,2200,2200,2200,2200,2200,2200,2150,2200,2200,2300,2300,2200,2200,2200,2262.5,2295,2300,2375,2300,2300,2300,2300,2400,2272.5,2300,2400,2500,2400,2450,2500,2400,2400,2400,2400,2500,2400,2300,2380
"Sheepshead Bay","New York","NY","New York","Kings",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2297.5,2300,2000,2000,2000,2000,1875,1900,1900,2000,2175,2300,2300,2300,2200,2000,2200,2200,2200,2200,2200,2200,2250,2300,2380,2380,2387.5,2300,2300,2100,2100,2100,2000,2300,2250,2300,2000,2300,2200,2500,2300,2300,2100,2100,2100,2299,2300,2400,2450,2450,2300,2274.5
"West","Arlington","TX","Dallas-Fort Worth","Tarrant",41,,,,,,,,,,,,,,,1175,1095,995,1095,1100,1082.5,1095,1100,1122.5,1072.5,1095,1095,1100,1100,1150,1100,1100,1100,1125,1100,1150,1150,1150,1157.5,1172.5,1163,1116.5,1150,1150,1150,1150,1150,1195,1195,1195,1200,1250,1250,1250,1250,1249.5,1200,1200,1297.5,1299,1250,1295,1297.5,1312.5,1350,1350,1350,1275.5,1295,1350,1350,1395,1372.5,1385,1347.5,1350,1425,1362.5,1400,1425,1350,1397.5,1397.5,1400,1397.5,1450,1475,1550,1525,1495,1500,1500,1495
"Gravesend","New York","NY","New York","Kings",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2687.5,2500,2300,2200,2300,2350,2300,2300,2100,2100,2200
"Forest Hills","New York","NY","New York","Queens",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2947.5,2895,2787.5,2800,2800,2800,2695,2700,2650,2999,3200,3050,3000,3000,3000,3000,2944,3000,2900,2897.5,2900,2800,2800,3000,3200,3200,3025,3000,2997,3100,3125,3050,2985,2999,2927.5,2799,2799,2799,3000,3000,2999,2800,2800,2800,3200,2799,3200,3000,3200,3250,3100,2997.5,2875,2787.5,2972.5,2985,2772.5,3000,3000,3000,3000,2925,2897.5
"East Village","New York","NY","New York","New York",44,,,,,,,,,,,3195,3497.5,3700,3750,3650,3700,3800,3800,4000,3995,4000,4150,4095,4000,3995,4200,4250,4200,4200,4250,4250,4295,4250,4295,4295,4295,4300,4285,4295,4300,4250,4250,4250,4300,4350,4350,4400,4400,4400,4500,4495,4600,4500,4400,4400,4400,4490,4795,4800,4895,4700,4500,4650,4592.5,4500,4450,4495,4500,4495,4500,4500,4495,4595,4595,4725,4700,4550,4500,4390,4495,4350,4495,4500,4550,4750,4700,4700,4700,4600,4600,4495,4300
"West Rogers Park","Chicago","IL","Chicago","Cook",45,,,,,,,,,,,,,,,,1300,1300,1495,1400,1495,1495,1400,1400,1400,1450,1450,1499.5,1450,1500,1500,1500,1450,1412.5,1450,1450,1500,1500,1600,1500,1400,1500,1595,1595,1595,1550,1500,1500,1500,1500,1600,1600,1575,1600,1597.5,1600,1550,1550,1600,1600,1500,1600,1600,1550,1600,1600,1575,1562.5,1600,1500,1500,1500,1500,1500,1600,1612.5,1625,1485,1500,1595,1500,1500,1500,1550,1562.5,1575,1650,1687.5,1650,1675,1595,1500,1550
"Cordova-Appling","Memphis","TN","Memphis","Shelby",46,,,,,,,,,,,,,,,,1150,1150,1175,1095,1095,1125,1095,1100,1100,1095,1100,1116,1125,1100,1095,1097.5,1100,1145,1067.5,1095,1100,1100,1095,1100,1150,1095,1092.5,1095,1100,1100,1112.5,1100,1125,1125,1175,1155,1150,1125,1145,1150,1125,1150,1160,1175,1175,1195,1175,1195,1195,1195,1152.5,1195,1195,1195,1195,1200,1225,1207.5,1195,1195,1195,1174,1197.5,1150,1195,1195,1195,1150,1195,1210.5,1200,1195,1200,1195,1200,1250,1245
"Eldridge - West Oaks","Houston","TX","Houston","Harris",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.5,1975,1950,2000,2200,2099,2200,2000,1746,1856,1900,2000,2000,2000,2037.5,1913.5,1900,1950,1900,1845,1845,1700,1750,1800,1773,1800,1752.5,1699.5,1895,1710,1720,1725,1720,1660,1720,1650,1700,1695,1700,1700,1750,1774,1761,1760.5,1796.5,1812.5
"Ridgewood","New York","NY","New York","Queens",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2300,2225,2200,2300,2300,2460,2400,2400,2400,2387.5,2400,2500,2500,2600,2600,2550,2650,2600,2574.5,2700,2800,2850,2850,2850,2800,2695,2800,2800,2750,2694,2695,2600,2696.5,2662.5,2650,2695,2700,2749,2700,2700,2650
"Hickory Ridge-South Riverdale","Memphis","TN","Memphis","Shelby",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,900,875,895,950,900,895,910,925,937.5,950,950,950,900,895,895,895,950,975,950,950,950,950,950,950,925,950,950,950,950,950,950,950,950,925,950,950,950,950,950,975,962.5,950,985,995,982.5,975,995,950,975,950,995,975,975,975,975,995,995,995,995,995,950,975,995,995
"South Dorchester","Boston","MA","Boston","Suffolk",50,,,,,,,,,,,,,,,,,1500,1525,1550,1550,1550,1560,1600,1650,1600,1700,1600,1650,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1650,1700,1700,1700,1750,1700,1750,1800,1750,1785,1700,1700,1700,1800,1750,1750,1800,1750,1800,1795,1900,1900,1900,1900,1900,1950,1950,1950,1925,1900,1900,1975,2000,2000,2100,2025,2100,2100,1900,2075,1997.5,2100,2175,2200,2350,2350,2300,2300,2300,2200,2200,2200,2200
"Central Southwest","Houston","TX","Houston","Harris",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387.5,1350,1360,1390,1375,1375,1350,1350,1395,1400,1400,1450,1450,1425,1400,1350,1375
"Princess Anne","Virginia Beach","VA","Virginia Beach","Virginia Beach City",52,,,,,,,,,,1550,1500,1500,1500,1500,1545,1500,1537.5,1500,1500,1495,1495,1500,1500,1512.5,1550,1550,1575,1575,1550,1537.5,1500,1500,1500,1500,1485,1495,1500,1595,1595,1595,1545,1500,1497,1495,1450,1450,1485,1500,1500,1550,1565,1595,1522.5,1550,1550,1550,1575,1550,1550,1500,1500,1595,1595,1575,1595,1550,1575,1550,1562.5,1595,1550,1550,1550,1575,1595,1562.5,1600,1595,1600,1500,1557.5,1595,1595,1550,1550,1600,1635,1600,1600,1600,1595,1512.5
"Southeast Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",53,,,,,,,,,,,,,,1095,1095,1050,1072.5,1095,1050,1095,1050,1050,1075,1095,1095,1095,1072.5,1095,1095,1095,1050,1050,1050,1050,1095,1100,1100,1150,1100,1100,1100,1100,1100,1097.5,1095,1095,1095,1095,1095,1100,1100,1100,1100,1100,1150,1122.5,1125,1125,1100,1095,1112.5,1150,1195,1200,1200,1150,1150,1150,1175,1195,1150,1195,1175,1195,1247.5,1195,1225,1250,1250,1250,1275,1250,1277,1295,1287.5,1300,1325,1300,1325,1325,1350,1300
