"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"Dyker Heights","New York","NY","New York","Kings",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000,2000,2000,2100,2050,2000,2000,1900,2000,2100,2100,2200,2100,2200,2150,2200,2200,2200,2100,2198,2200,2200,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2200,2200,2300,2300,2350,2300,2300,2300,2300,2400,2400,2300,2300,2499.5,2400,2300,2300,2274.5,2300
"Bayside","Virginia Beach","VA","Virginia Beach","Virginia Beach City",100,,,,,,,,,,1200,1259,1295,1295,1350,1450,1450,1400,1400,1350,1350,1272.5,1272.5,1350,1297.5,1300,1325,1399,1350,1295,1295,1250,1250,1250,1300,1295,1300,1297.5,1300,1470,1397.5,1350,1312.5,1300,1295,1295,1240,1250,1275,1295,1300,1372.5,1450,1395,1362.5,1350,1377.5,1375,1350,1299,1297.5,1312.5,1450,1400,1375,1395,1367.5,1300,1295,1324.5,1295,1275,1295,1325,1400,1400,1447.5,1480,1380,1400,1312.5,1427.5,1450,1495,1450,1400,1400,1550,1485,1400,1385,1400,1397.5
"Green Valley North","Henderson","NV","Las Vegas","Clark",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1295,1344,1300,1375,1322.5,1350,1350,1350,1400,1400,1400,1399.5,1398,1300,1400,1375
"Humboldt Park","Chicago","IL","Chicago","Cook",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1600,1600,1700,1695,1675,1650,1575,1500,1585,1772.5,1800,1885,1700,1785,1750,1650,1495,1595,1650,1670,1650,1582.5,1700,1700,1645,1650,1750,1800,1725,1700
"Powers","Colorado Springs","CO","Colorado Springs","El Paso",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1400,1495,1495,1497.5,1500,1497.5,1500,1495,1525,1525,1500,1497.5
"North Cheyenne","Las Vegas","NV","Las Vegas","Clark",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,1195,1172.5,1197,1250,1250,1250,1250,1279,1250,1225,1250,1250,1295
"Lake View East","Chicago","IL","Chicago","Cook",105,,,,,,,,,,,2540,2450,2450,2450,2450,2450,2480,2500,2545,2600,2475,2600,2500,2500,2435,2600,2575,2460,2750,2850,2850,2850,2850,2850,2850,2750,2775,2600,2450,2600,2600,2535,2550,2520,2452.5,2400,2395,2395,2395,2500,2500,2400,2400,2400,2400,2400,2500,2500,2500,2345,2495,2600,2590,2600,2500,2500,2500,2500,2550,2600,2719,2697,2700,2744,2719,2700,2650,2600,2538,2467,2467,2400,2475,2600,2580,2700,2900,2880,2795,2695,2600,2500
"South Boston","Boston","MA","Boston","Suffolk",106,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3000,3250,3300,3250,3100,3032.5,3000,3000,3000,3200,3000,3225,3300,3300,3300,3200,3300,3200,3300,3300,3300,3300,3300,3300,3300,3425,3300,3300,3000,3000,3000,3100,3200,3350,3300,3300,3300,3300,3362.5,3400,3295,3245,3300,3400,3500,3400,3400,3500,3500,3497.5,3600,3500,3300,3500,3300,3500,3500,3600,3600,3600,3600,3600,3600,3600,3500,3500
"Cobbs Creek","Philadelphia","PA","Philadelphia","Philadelphia",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,997.5,1050,1100,1100,1125,1100,1100,1100,1100,1100,1090,1062.5
"Shelby Forest-Frayser","Memphis","TN","Memphis","Shelby",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.5,650,675,695,695,695,695,675,675,675,650,650,650,650,675,675,675,675,685,675,675,675,675,655,665,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,675,675,675,650,650,650,650,650,662.5,675,650,675,675,675,660,650,650,650,675,675
"Whitestone","New York","NY","New York","Queens",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2100,2100,2000,2000,1975,2200,2050,2100,1950,2000,2125,2200,2050,2100,2100,2000,2000,2102.5,2200,2250,2200,2200,2200,2200,2150,2200,2300,2300,2300,2300,2300,2300,2300,2300,2250,2300,2300,2300,2300,2300,2300,2400,2350,2300,2375,2425,2400,2400,2400,2350,2350,2300,2350,2400,2350,2375,2400,2400
"Whitney","Las Vegas","NV","Las Vegas","Clark",110,,,,,,,,,,,,,,,1100,1050,1050,1050,1000,975,995,995,995,995,995,995,999.5,995,995,995,995,986,975,975,987.5,999,1000,1000,990.5,1000,1000,1000,995,995,995,1000,995,995,995,1000,1000,999.5,1050,1050,1017.5,1000,1050,1050,1008.5,1050,1025,1027.5,1043.5,1095,1062.5,1050,1050,1000,1000,1050,1072.5,1095,1095,1150,1150,1150,1100,1062.5,1100,1150,1072.5,1062.5,1150,1150,1162.5,1150,1125,1195,1195,1197,1200,1200
"Venice","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6975,6500,7450,7000,6995,6997.5,6847.5,7050,7995,7400,7200,7150,7350
"Greenpoint","New York","NY","New York","Kings",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,2900,3200,3300,3300,3300,3300,3300,3250,3400,3400,3400,3400,3400,3400,3300,3300,3400,3400,3450,3500,3500,3500,3483,3300,3150,3150,3150,3000,3300,3399,3400,3400,3400,3500,3600,3846,3550,3600,3600,3500,3650,3650,3599.5,3600,3600,3600,3500,3600,3600,3798,3500,3479,3523,3507,3599,3597,3595,3500,3500,3500,3300
